Time_10km	CumEQ_10km	Time_20km	CumEQ_20km	Time_30km	CumEQ_30km	Time_40km	CumEQ_40km	Time_50km	CumEQ_50km	Time_100km	CumEQ_100km	Time_150km	CumEQ_150km
1994.576918	1	1993.047308	1	1993.047308	1	1993.047308	1	1993.047308	1	1992.196362	1	1992.036388	1
2001.868291	1	1994.576918	1	1993.719768	1	1993.719768	1	1993.20454	1	1992.211565	1	1992.057997	1
2001.868291	2	1994.576918	2	1993.719768	2	1993.719768	2	1993.20454	2	1992.211565	2	1992.057997	2
2002.089801	2	1997.459074	2	1994.576918	2	1994.004777	2	1993.719768	2	1992.258247	2	1992.173502	2
2002.089801	3	1997.459074	3	1994.576918	3	1994.004777	3	1993.719768	3	1992.258247	3	1992.173502	3
2008.647658	3	1998.48482	3	1995.360345	3	1994.123788	3	1994.004777	3	1992.307191	3	1992.196362	3
2008.647658	4	1998.48482	4	1995.360345	4	1994.123788	4	1994.004777	4	1992.307191	4	1992.196362	4
2011.806832	4	2001.818571	4	1995.7472	4	1994.1606	4	1994.123788	4	1992.381969	4	1992.211565	4
2011.806832	5	2001.818571	5	1995.7472	5	1994.1606	5	1994.123788	5	1992.381969	5	1992.211565	5
2014.272355	5	2001.868291	5	1997.459074	5	1994.576918	5	1994.124248	5	1992.452067	5	1992.258247	5
2014.272355	6	2001.868291	6	1997.459074	6	1994.576918	6	1994.124248	6	1992.452067	6	1992.258247	6
2015.239082	6	2002.089801	6	1997.837383	6	1994.665778	6	1994.1606	6	1992.575908	6	1992.294009	6
2015.239082	7	2002.089801	7	1997.837383	7	1994.665778	7	1994.1606	7	1992.575908	7	1992.294009	7
2020	7	2004.1795	7	1998.48482	7	1994.695459	7	1994.437031	7	1992.629943	7	1992.307191	7
NaN	NaN	2004.1795	8	1998.48482	8	1994.695459	8	1994.437031	8	1992.629943	8	1992.307191	8
NaN	NaN	2006.99691	8	1999.080666	8	1995.360345	8	1994.46511	8	1992.734402	8	1992.308272	8
NaN	NaN	2006.99691	9	1999.080666	9	1995.360345	9	1994.46511	9	1992.734402	9	1992.308272	9
NaN	NaN	2007.132394	9	2000.76701	9	1995.7472	9	1994.576918	9	1992.779052	9	1992.31418	9
NaN	NaN	2007.132394	10	2000.76701	10	1995.7472	10	1994.576918	10	1992.779052	10	1992.31418	10
NaN	NaN	2007.173606	10	2000.954682	10	1995.925488	10	1994.665778	10	1992.848179	10	1992.353648	10
NaN	NaN	2007.173606	11	2000.954682	11	1995.925488	11	1994.665778	11	1992.848179	11	1992.353648	11
NaN	NaN	2008.359396	11	2001.818571	11	1997.459074	11	1994.695459	11	1993.047308	11	1992.381969	11
NaN	NaN	2008.359396	12	2001.818571	12	1997.459074	12	1994.695459	12	1993.047308	12	1992.381969	12
NaN	NaN	2008.559338	12	2001.868291	12	1997.837383	12	1995.360345	12	1993.070104	12	1992.38851	12
NaN	NaN	2008.559338	13	2001.868291	13	1997.837383	13	1995.360345	13	1993.070104	13	1992.38851	13
NaN	NaN	2008.647658	13	2002.089801	13	1998.48482	13	1995.7472	13	1993.20454	13	1992.452067	13
NaN	NaN	2008.647658	14	2002.089801	14	1998.48482	14	1995.7472	14	1993.20454	14	1992.452067	14
NaN	NaN	2009.860576	14	2002.421926	14	1999.080666	14	1995.925488	14	1993.268948	14	1992.488702	14
NaN	NaN	2009.860576	15	2002.421926	15	1999.080666	15	1995.925488	15	1993.268948	15	1992.488702	15
NaN	NaN	2011.122697	15	2002.732201	15	2000.76701	15	1995.959497	15	1993.531888	15	1992.575908	15
NaN	NaN	2011.122697	16	2002.732201	16	2000.76701	16	1995.959497	16	1993.531888	16	1992.575908	16
NaN	NaN	2011.806832	16	2004.1795	16	2000.872358	16	1996.088893	16	1993.719768	16	1992.629943	16
NaN	NaN	2011.806832	17	2004.1795	17	2000.872358	17	1996.088893	17	1993.719768	17	1992.629943	17
NaN	NaN	2013.39126	17	2004.81613	17	2000.954682	17	1996.678615	17	1993.75048	17	1992.669226	17
NaN	NaN	2013.39126	18	2004.81613	18	2000.954682	18	1996.678615	18	1993.75048	18	1992.669226	18
NaN	NaN	2013.502551	18	2005.586477	18	2001.818571	18	1997.459074	18	1994.004271	18	1992.734402	18
NaN	NaN	2013.502551	19	2005.586477	19	2001.818571	19	1997.459074	19	1994.004271	19	1992.734402	19
NaN	NaN	2014.272355	19	2006.99691	19	2001.868291	19	1997.837383	19	1994.004777	19	1992.779052	19
NaN	NaN	2014.272355	20	2006.99691	20	2001.868291	20	1997.837383	20	1994.004777	20	1992.779052	20
