Time	Magnitude	Latitude	Longitude	Depth
1992.001903	6.02	48.571	-129.342	15
1992.003155	5.59	-49.007	123.652	15
1992.02095	5.71	-9.019	-109.744	15
1992.023588	5.54	2.419	127.655	28.7
1992.025357	5.64	9.277	87.045	20
1992.036388	5.69	17.963	-70.664	18.4
1992.057997	5.59	38.335	20.542	15
1992.077272	5.82	24.893	63.159	27
1992.07925	5.88	-58.157	148.321	15
1992.084915	6.01	-51.913	139.777	10
1992.094596	5.91	52.296	-170.397	30
1992.095963	6.34	-5.642	103.07	34.4
1992.096234	5.73	29.597	95.638	13.4
1992.098575	5.64	43.175	146.597	50.2
1992.110704	5.7	-9.327	124.741	18.4
1992.11516	6.77	-15.905	166.231	24.9
1992.115291	5.98	53.526	-165.724	30
1992.1191	5.61	-4.283	146.476	25
1992.125945	5.95	79.161	124.679	15
1992.126469	6.13	-56.049	158.226	15
1992.136184	5.69	12.96	145.362	48.5
1992.13857	5.97	-6.16	147.673	35
1992.139421	5.75	13.853	-92.254	35
1992.15101	5.92	11.778	57.782	15
1992.157111	5.8	-24.376	-70.001	55.2
1992.159447	5.55	12.278	141.331	16.9
1992.165309	5.52	-40.395	176.41	21
1992.165696	6.85	52.942	159.764	42.9
1992.167374	5.58	44.098	149.097	28.5
1992.170184	6.42	-2.923	147.972	15
1992.173502	6.22	11.474	42.862	15
1992.180085	6.16	-3.52	146.573	20
1992.182728	5.53	-58.484	149.299	10
1992.193144	5.51	35.341	-2.625	15
1992.196362	6.65	39.706	39.6	20
1992.196422	6.2	-9.196	152.405	27.2
1992.19998	5.84	23.614	123.579	30
1992.203141	5.53	-24.047	-177.239	15
1992.211565	6.02	17.238	120.91	18.9
1992.221243	5.75	-42.514	-18.454	10
1992.226596	5.99	-55.554	-123.297	15
1992.227103	5.93	3.683	127.111	45.3
1992.229233	5.55	-37.459	177.266	15
1992.231604	5.93	51.194	-179.693	25
1992.239928	5.54	-10.186	118.889	32.5
1992.243003	5.91	-17.835	-116.23	15
1992.244072	6.28	-49.597	-113.887	15
1992.24991	5.6	-37.314	-17.32	15
1992.252262	6.48	-5.601	151.264	32.6
1992.257113	5.64	-10.829	166.024	44
1992.258247	5.68	35.838	80.696	10
1992.258701	6.1	-11.812	166.346	48.4
1992.258981	5.77	11.297	-86.463	30
1992.261683	6.66	50.572	-130.511	15
1992.261782	5.86	-1.952	97.708	14.9
1992.263246	5.99	-4.064	130.963	49.2
1992.265434	5.97	-16.859	168.223	14.5
1992.278647	5.6	29.542	131.436	30.7
1992.278907	5.61	-31.591	-176.933	10
1992.294009	6.58	-5.421	102.923	28.6
1992.297803	6.07	23.853	121.625	23.1
1992.298724	5.7	-22.243	170.34	15
1992.307191	6.16	33.866	-116.416	10
1992.307286	5.6	51.443	-130.937	15
1992.308272	6.07	22.47	98.996	10
1992.31019	6.01	27.547	66.235	20
1992.310845	5.6	8.426	141.193	31.1
1992.31139	5.88	-9.034	-109.826	15
1992.31418	7.16	40.387	-124.101	15
1992.31856	5.69	12.22	-87.17	65
1992.324142	5.91	-10.725	166.055	35
1992.327144	5.75	35.122	26.64	26.3
1992.334252	5.5	-15.33	-175.392	16.1
1992.334437	5.5	-32.412	-71.579	57.8
1992.343244	5.5	-0.331	125.89	48.7
1992.345699	5.98	41.21	144.693	20
1992.353648	5.78	37.162	72.922	20
1992.360459	5.65	-9.654	-78.821	63.4
1992.360723	6.66	-16.433	-172.343	13.9
1992.3635	5.55	-23.741	-175.962	30.7
1992.367511	5.64	-32.622	-178.146	10
1992.3678	5.9	41.055	72.413	30
1992.371658	5.74	-38.3	178.204	25
1992.372002	6.03	-13.646	-76.142	58.1
1992.372064	5.55	-6.003	105.36	15
1992.373468	7.07	7.369	126.644	25
1992.374812	5.85	-6.397	153.275	31.8
1992.375432	6.1	-33.597	-71.997	30
1992.377746	6.29	7.293	-82.321	13
1992.37924	5.59	28.149	55.612	24.8
1992.379502	5.82	-9.445	159.345	25
1992.381969	6.04	33.341	71.331	15
1992.385657	5.89	31.121	141.854	29.8
1992.38698	5.62	52.361	175.491	35
1992.38851	6.18	-3.499	144.221	27.5
1992.389974	5.98	13.424	-90.216	55
1992.394577	5.71	-4.757	139.754	21.6
1992.39618	6.81	19.579	-77.808	13
1992.398867	5.53	-3.349	135.906	31.5
1992.400323	7	-10.982	165.269	18.8
1992.403542	5.78	-30.68	-178.147	35.6
1992.404907	5.74	47.683	155.265	20
1992.405125	5.52	23.117	121.405	15.9
1992.409822	6.3	14.397	-92.96	50
1992.414996	5.67	36.66	141.333	35
1992.418441	5.83	-16.059	92.786	25
1992.419596	6.14	51.081	178.758	25
1992.420832	5.62	-4.594	-104.714	10
1992.422093	6.02	28.057	128.069	24.7
1992.428914	5.55	12.856	-88.337	69.2
1992.429578	5.94	1.055	124.081	33.6
1992.435379	6.07	-8.416	111.035	65
1992.435636	5.53	-65.252	178.976	10
1992.45096	5.59	-26.495	-177.54	25
1992.452067	6.27	24.042	95.961	15.7
1992.453374	5.69	-60.867	154.129	15
1992.458208	6.11	-60.445	-57.028	15
1992.469414	5.74	-26.562	-70.743	38.7
1992.470194	6.22	-37.692	176.969	15
1992.471368	6.33	-60.703	-21.925	10
1992.472655	5.69	16.865	147.079	55
1992.474205	5.53	-18.723	172.19	16.1
1992.474944	6.03	-36.204	-101.243	10
1992.475138	5.65	-17.859	-174.697	17.4
1992.476464	5.71	-23.367	-175.439	31.8
1992.477777	5.86	51.456	-173.421	25
1992.479867	6.48	-28.295	-176.693	15.8
1992.48224	5.84	-33.669	-178.651	15
1992.483178	5.84	6.024	-82.479	25
1992.486228	5.6	19.029	-80.564	20
1992.488702	7.29	34.188	-116.557	10
1992.490089	5.84	-10.554	161.536	56.6
1992.491288	5.51	-5.199	-100.983	10
1992.498999	5.58	-33.132	-178.663	20
1992.506711	5.76	-13.413	-111.419	15
1992.521278	6.52	44.76	149.366	17
1992.526939	6.16	41.503	142.141	68.6
1992.530181	6.14	51.177	157.546	49.3
1992.532887	5.5	45.218	151.279	44.5
1992.534631	5.56	1.372	123.357	34.6
1992.53662	5.89	39.36	143.319	20
1992.537371	5.81	-4.846	-106.132	10
