dmax_km	EF_All	Jack90_All_Low	Jack90_All_High	EF_Reservoir	Jack90_Re_Low	Jack90_Re_High	EF_Natural	Jack90_Na_Low	Jack90_Na_High	Null90_All_Low	Null90_All_High	Null90_Re_Low	Null90_Re_High	Null90_Na_Low	Null90_Na_High
20	1.57142857142857	1.28571428571429	2.2	4	3	8	0.6	0.4	1	0.5	2.6	0.428571428571429	4	0.333333333333333	3
25	1.4	1.1	1.75	2.25	1.75	3	0.833333333333333	0.5	1.25	0.5	2	0.444444444444444	3.33333333333333	0.375	2.66666666666667
30	1.72727272727273	1.4	2.125	2	1.6	3	1.5	1	2	0.578947368421053	2	0.5	2.75	0.5	2
35	1.41176470588235	1.17647058823529	1.64285714285714	1.25	1	1.66666666666667	1.55555555555556	1.22222222222222	2	0.64	1.73333333333333	0.5	2	0.533333333333333	1.875
40	1.25	1.08333333333333	1.45	1	0.818181818181818	1.22222222222222	1.5	1.25	1.8	0.636363636363636	1.57142857142857	0.5	2	0.578947368421053	1.72727272727273
45	1.06896551724138	0.925925925925926	1.21739130434783	1	0.818181818181818	1.22222222222222	1.125	0.933333333333333	1.33333333333333	0.666666666666667	1.5	0.529411764705882	1.88888888888889	0.619047619047619	1.61538461538462
50	1	0.888888888888889	1.12903225806452	0.823529411764706	0.6875	1	1.15	1	1.35294117647059	0.720930232558139	1.46666666666667	0.55	1.81818181818182	0.653846153846154	1.52941176470588
55	1.09302325581395	0.976190476190476	1.21621621621622	0.904761904761905	0.763305322128851	1.05882352941176	1.27272727272727	1.0952380952381	1.5	0.730769230769231	1.36842105263158	0.6	1.66666666666667	0.666666666666667	1.5
60	1.0377358490566	0.938775510204082	1.14583333333333	1	0.863636363636364	1.15789473684211	1.06896551724138	0.928571428571429	1.22727272727273	0.770491803278688	1.34782608695652	0.655172413793103	1.66666666666667	0.666666666666667	1.5
65	1	0.913793103448276	1.09433962264151	1	0.884615384615385	1.1304347826087	0.971428571428571	0.852941176470588	1.10714285714286	0.774647887323944	1.33333333333333	0.657142857142857	1.52173913043478	0.682926829268293	1.46428571428571
70	0.945945945945946	0.865671641791045	1.03333333333333	0.945945945945946	0.833333333333333	1.09375	0.897435897435897	0.8	1.03030303030303	0.777777777777778	1.28571428571429	0.714285714285714	1.48275862068966	0.681818181818182	1.38709677419355
75	0.86046511627907	0.792207792207792	0.934210526315789	0.844444444444444	0.75	0.947368421052632	0.837209302325581	0.743589743589744	0.947368421052632	0.797752808988764	1.28571428571429	0.729166666666667	1.44117647058824	0.717391304347826	1.39393939393939
80	0.955056179775281	0.878048780487805	1.03947368421053	0.978723404255319	0.866666666666667	1.10526315789474	0.886363636363636	0.785714285714286	1	0.8125	1.25974025974026	0.754716981132076	1.38461538461538	0.693877551020408	1.37142857142857
85	0.939393939393939	0.863157894736842	1.01176470588235	0.962264150943396	0.857142857142857	1.07142857142857	0.86	0.761387163561077	0.954545454545455	0.811320754716981	1.23255813953488	0.76271186440678	1.36363636363636	0.722222222222222	1.38461538461538
90	0.930434782608696	0.858490566037736	1	0.967213114754098	0.864406779661017	1.07407407407407	0.830508474576271	0.741379310344828	0.92	0.834710743801653	1.22	0.764705882352941	1.35294117647059	0.741935483870968	1.34782608695652
95	0.92741935483871	0.857142857142857	0.982608695652174	1.015625	0.913793103448276	1.10526315789474	0.787878787878788	0.707692307692308	0.872727272727273	0.838461538461538	1.21296296296296	0.791666666666667	1.34545454545455	0.761194029850746	1.31372549019608
100	0.916030534351145	0.851239669421488	0.966666666666667	1.03030303030303	0.934426229508197	1.10344827586207	0.75	0.676923076923077	0.825396825396825	0.845588235294118	1.20175438596491	0.786666666666667	1.35087719298246	0.75	1.29090909090909
105	0.914893617021277	0.852941176470588	0.967479674796748	1.04285714285714	0.951612903225806	1.12307692307692	0.734177215189873	0.666666666666667	0.805555555555556	0.849315068493151	1.19512195121951	0.7875	1.30645161290323	0.756410256410256	1.28333333333333
110	0.900662251655629	0.847222222222222	0.949640287769784	1.01315789473684	0.931506849315068	1.08823529411765	0.738095238095238	0.675324675324675	0.808219178082192	0.851612903225806	1.19083969465649	0.8	1.28358208955224	0.780487804878049	1.24615384615385
115	0.924050632911392	0.873239436619718	0.978260869565217	1.05128205128205	0.971830985915493	1.1304347826087	0.764044943820225	0.707317073170732	0.831168831168831	0.853658536585366	1.18705035971223	0.797752808988764	1.28571428571429	0.784090909090909	1.24285714285714
120	0.923976608187134	0.875758021242971	0.974358974358974	1.05952380952381	0.987179487179487	1.13333333333333	0.76530612244898	0.702127659574468	0.833333333333333	0.858757062146893	1.16447368421053	0.802083333333333	1.27631578947368	0.783505154639175	1.24675324675325
125	0.923076923076923	0.875	0.969325153374233	1.02150537634409	0.953488372093023	1.08536585365854	0.794117647058823	0.73	0.858695652173913	0.861702127659574	1.16049382716049	0.807692307692308	1.26506024096386	0.794117647058823	1.23170731707317
130	0.957446808510638	0.907514450867052	1	1.05376344086022	0.977777777777778	1.11904761904762	0.834862385321101	0.776595744680851	0.897959183673469	0.868020304568528	1.16470588235294	0.819047619047619	1.24705882352941	0.801801801801802	1.22222222222222
135	0.98469387755102	0.932960893854749	1.02762430939227	1.04950495049505	0.978723404255319	1.10869565217391	0.866071428571429	0.806122448979592	0.930693069306931	0.870192307692308	1.16111111111111	0.831858407079646	1.25	0.801724137931034	1.2
140	1.02427184466019	0.97	1.06703910614525	1.11926605504587	1.04255319148936	1.18181818181818	0.903508771929825	0.841121495327103	0.97	0.878378378378378	1.14948453608247	0.833333333333333	1.22115384615385	0.808333333333333	1.21428571428571
145	1.00456621004566	0.952380952380952	1.0433737458194	1.11304347826087	1.03809523809524	1.16504854368932	0.884297520661157	0.821428571428571	0.944444444444444	0.876068376068376	1.14146341463415	0.840909090909091	1.20909090909091	0.80952380952381	1.19230769230769
150	1.04366812227074	0.995348837209302	1.08212560386473	1.1219512195122	1.05454545454545	1.17241379310345	0.952	0.889830508474576	1.00961538461538	0.879518072289157	1.14678899082569	0.838028169014085	1.21186440677966	0.82089552238806	1.1981981981982
