dmax_km	EF_All	Jack90_All_Low	Jack90_All_High	EF_Reservoir	Jack90_Re_Low	Jack90_Re_High	EF_Natural	Jack90_Na_Low	Jack90_Na_High	Null90_All_Low	Null90_All_High	Null90_Re_Low	Null90_Re_High	Null90_Na_Low	Null90_Na_High
20	1.6001035959112	1.30008396228156	2.00014069149872	3.00014989008061	2.33342672643825	4.5002457002457	1.00007872404075	0.714339241888561	1.40010429082241	0.500030706243388	2.0001339842736	0.333349987786734	3.00014989008061	0.375030270907028	2.66686166971359
25	1.33341124832807	1.07150304629799	1.63646115360184	2.00007963791296	1.60002450942847	3.00009984856301	1.00007626504646	0.777817483545566	1.28580731993227	0.545486419770576	1.81827171865189	0.400011369450287	2.50010677372512	0.428604113591339	2.20014110185904
30	1.4445227082404	1.22228716265414	1.73343274280285	1.57148060146725	1.16671961514024	2.20005468827682	1.36373796074288	1.09098718218478	1.75014541267524	0.592622245450294	1.68759338166122	0.416681285181893	2.40008326876149	0.500035128394281	2.00014900908955
35	1.41675366590926	1.21745942682848	1.68430679410043	1.55562608885785	1.22227368962815	2.00011126564673	1.33343284770321	1.07150398033336	1.66677881941268	0.617684680596066	1.59100835563166	0.466688652074637	2.14295809626109	0.545495255878585	1.83347016559191
40	1.36371408958775	1.19362374988271	1.55565466825627	1.53852130775208	1.27278084838677	1.90008193010069	1.25009083337526	1.05270411517493	1.50010372987852	0.666704038851369	1.4828400291188	0.526334531979025	1.81825742035503	0.576966906690713	1.6876226250566
45	1.16672694508953	1.02707668445136	1.32359598580775	1.37505050690567	1.13337561021832	1.72735038754505	1.03852758736708	0.880058537235289	1.20008942596242	0.686308017535125	1.41673929513361	0.56523565416878	1.76928780071711	0.612940113060266	1.60010176423965
50	1.22647732048475	1.10643337749334	1.36371002797882	1.27276664801028	1.09527053674103	1.50005831785988	1.19362806987318	1.03578590074652	1.37047036820825	0.707728206422519	1.3617719591848	0.600016183238083	1.61116455620083	0.631620140714291	1.53856424806938
55	1.30652677139838	1.1865065061265	1.44452729119857	1.2000511995631	1.03707742541084	1.40005863129336	1.4063490614306	1.23341753050556	1.61548581347616	0.727315340549565	1.33341005337307	0.638917595345712	1.54173362665427	0.644488299788463	1.50010930275771
60	1.21059433124451	1.10151573676383	1.32820013207883	1.22862612554121	1.08576221877313	1.42862425773416	1.19520162787538	1.05136229963353	1.35303736338652	0.744723272394745	1.30833267186389	0.659120252338438	1.50006222798826	0.666711105334084	1.45724497900828
65	1.17984602668105	1.08440081653023	1.28386221896059	1.23815536588066	1.10005529603537	1.40547721503476	1.1277394193424	1.0000725088047	1.26838581181427	0.7624232748715	1.28056587914419	0.685220116545652	1.447438577216	0.678619905565733	1.42510248305035
