tDec	storage
1992.74863387978	0
1992.83333333333	-0.360906285736503
1992.91530054645	-0.120345524547985
1993	0.722973158304813
1993.08493150685	2.29455104135736
1993.16164383562	7.15248967787774
1993.24657534247	3.26502517957858
1993.41369863014	0.662667033484921
1993.49589041096	-0.378941307588313
1993.66575342466	-0.559237247875163
1993.74794520548	-1.44124223276143
1993.83287671233	-1.74068797296922
1993.91506849315	-2.57759909890473
1994	-6.31409104367592
1994.08493150685	-1.98003798640432
1994.16164383562	-1.62094396376616
1994.24657534247	-0.240647683307892
1994.32876712329	-1.92021779321219
1994.41369863014	-0.348882390958335
1994.49589041096	2.26797984915541
1994.58082191781	-3.76915210912654
1994.66575342466	-3.65901964025178
1994.74794520548	-5.66532875885405
1994.83287671233	-6.54960671318114
1994.91506849315	-6.54960671318114
1995	-0.765557861274938
1995.08493150685	-5.31079051410024
1995.16164383562	-4.54103634845254
1995.24657534247	-2.63729060421451
1995.32876712329	-3.17397841251291
1995.49589041096	-5.31079051410025
1995.58082191781	-6.4907478569622
1995.66575342466	-7.43086656212594
1995.74794520548	-10.2876324290078
1995.83287671233	-11.0569689279641
1995.91506849315	-8.03420888504488
1996	-9.18401039950398
1996.16393442623	-7.48950793934547
1996.24863387978	-4.0068786797598
1996.3306010929	-3.88804007841777
1996.41530054645	-4.06627940790483
1996.49726775956	-5.3107905141001
1996.58196721311	-6.54960671318102
1996.74863387978	-8.13364738595322
1996.83333333333	-17.3671576110373
1996.91530054645	-17.9252994691696
1997	-13.6795658115729
1997.16164383562	-10.710230558164
1997.32876712329	-9.00927207226036
1997.41369863014	-8.73525477954481
1997.49589041096	-9.42705063656159
1997.58082191781	-11.9041464619533
1997.74794520548	-14.2489655070123
1997.83287671233	-14.4762624339453
1997.91506849315	-14.1920997617109
1998.24657534247	-1.19167655946419
1998.32876712329	-3.16617719054277
1998.41369863014	-0.300782440972498
1998.49589041096	3.08287293828111
1998.58082191781	2.3551325218452
1998.74794520548	1.68928404621841
1998.91506849315	-4.63420809857252
1999	-0.841501321233812
1999.08493150685	-3.79367376398501
1999.24657534247	3.6721398477868
1999.32876712329	2.50662932992022
1999.41369863014	-5.54720131599686
1999.58082191781	-5.78340397558961
1999.66575342466	-5.0008511794555
1999.74794520548	-4.66982220574224
1999.83287671233	-1.27942319943048
1999.91506849315	-3.293110363374
2000	-5.36991264455216
2000.08469945355	-2.1457105996236
2000.16393442623	-11.4435108496658
2000.24863387978	-3.47878026665533
2000.3306010929	-5.96041845990068
2000.41530054645	-6.09604929300451
2000.49726775956	-6.69669511624379
2000.58196721311	-6.96124178645313
2000.66666666667	-7.89960998911305
2000.74863387978	-9.00927207226028
2000.91530054645	-6.06708234524126
2001.16164383562	-5.72437290739595
2001.24657534247	-3.58706506378852
2001.32876712329	-3.6541637411267
2001.49589041096	-2.51789577560621
2001.58082191781	-4.18504360005229
2001.66575342466	-4.55109023445222
2001.74794520548	-4.70024609270532
2001.83287671233	-7.13745358629115
2001.91506849315	-7.13745358629115
2002	-6.25517877043102
2002.08493150685	-4.00687867975963
2002.16164383562	-2.4581806581368
2002.24657534247	-1.20148091967686
2002.32876712329	-1.20148091967686
2002.41369863014	-2.15942899186071
2002.49589041096	-2.57759909890448
2002.58082191781	-3.76915210912618
2002.66575342466	-4.65960002008903
2002.74794520548	-5.1925075361497
2002.83287671233	-6.608452155598
2002.91506849315	-7.01999266535152
2003	-5.42902183756418
2003.08493150685	-5.07417309425808
2003.16164383562	-5.42902183756418
2003.24657534247	-4.77811308523543
2003.32876712329	-5.19250753614965
2003.41369863014	-6.07836227770182
2003.49589041096	-7.01999266535157
2003.58082191781	-7.72393526113031
2003.66575342466	-8.36745987254668
2003.74794520548	-9.59122505499188
2003.83287671233	-10.7507114994684
2003.91506849315	-11.4435108496659
2004	-11.3858617826902
2004.08469945355	-10.9818887079584
2004.16393442623	-10.9241171822567
2004.24863387978	-10.4034923019456
2004.3306010929	-10.8663304563958
2004.41530054645	-11.9616559407776
2004.49726775956	-13.0513393976365
2004.58196721311	-13.5084261223688
2004.66666666667	-14.5898109313948
2004.74863387978	-15.2131267553663
2004.83333333333	-16.6220596774261
2004.91530054645	-15.8907624192839
2005	-14.419463157989
2005.08493150685	-13.9075231446995
2005.16164383562	-13.3371399854004
2005.24657534247	-13.0513393976365
2005.32876712329	-13.6225355601754
2005.41369863014	-14.8733890791421
2005.49589041096	-15.3262370093659
2005.58082191781	-16.3411402824336
2005.66575342466	-16.8464788608797
2005.74794520548	-18.0756878068595
2005.83287671233	-19.1301972452762
2005.91506849315	-19.9029043457764
2006	-20.0129888029799
2006.08493150685	-19.517011898037
2006.16164383562	-19.0195105317318
2006.24657534247	-18.1870010558113
2006.32876712329	-18.2982413092589
2006.41369863014	-18.9641392538289
2006.49589041096	-19.7376353152362
2006.58082191781	-20.452563331404
2006.66575342466	-21.1096142629389
2006.74794520548	-22.577643492206
2006.83287671233	-24.0845192313737
2006.91506849315	-22.1984352286635
2007	-19.3347708188561
2007.08493150685	-17.2944671958225
2007.16164383562	-14.5330450330198
2007.24657534247	-14.1920997617107
2007.32876712329	-14.646560105252
2007.41369863014	-15.7215850720928
2007.49589041096	-16.5659108670939
2007.58082191781	-17.2385309411178
2007.66575342466	-18.4649644060408
2007.74794520548	-19.4065871711012
2007.83287671233	-20.4525633314038
2007.91506849315	-20.5074238831642
2008	-19.2960873526678
2008.08469945355	-17.8528430846203
2008.16393442623	-15.6087141298698
2008.24863387978	-13.2800121736138
2008.3306010929	-13.4513469835957
2008.41530054645	-13.6225355601754
2008.49726775956	-14.419463157989
2008.58196721311	-14.8167070415369
2008.66666666667	-16.0597843154682
2008.74863387978	-16.9025395231845
2008.83333333333	-17.7970865795963
2008.91530054645	-17.2944671958226
2009	-16.6781909057889
2009.08493150685	-15.8343872107968
2009.16164383562	-15.3262370093658
2009.24657534247	-13.3371399854005
2009.32876712329	-13.2228681851264
2009.41369863014	-13.7365797195419
2009.49589041096	-14.6465601052521
