tDec	storage
1992.74863387978	0
1992.83333333333	-0.0227125690595772
1992.91530054645	-0.05218125336213
1993	-0.0562862217415498
1993.08493150685	-0.0594463813814692
1993.16164383562	-0.0533054318862599
1993.24657534247	-0.0568544068993504
1993.32876712329	-0.0399074094085408
1993.49589041096	0.00734751761206075
1993.83287671233	-0.020946418346056
1993.91506849315	-0.0396518089864771
1994	-0.0554614323690861
1994.08493150685	-0.0586068260127725
1994.24657534247	-0.0590973409755443
1994.66575342466	0.00683611341041288
1994.91506849315	-0.0544911780872841
1995	-0.0600432190568645
1995.08493150685	-0.0596116720757286
1995.16164383562	-0.0580614620925465
1995.24657534247	-0.0569057487104806
1995.74794520548	-0.00716548405395252
1995.83287671233	-0.0360950943798554
1995.91506849315	-0.0470140231635739
1996	-0.0539602012514022
1996.08469945355	-0.0604859450221706
1996.16393442623	-0.0560528028957157
1996.24863387978	-0.0482780285782469
1996.3306010929	-0.0415313791511236
1996.58196721311	0.0148382709804333
1996.74863387978	-0.00922530052038769
1996.83333333333	-0.0402014562640861
1996.91530054645	-0.048393177575167
1997.08493150685	-0.0543290220227014
1997.16164383562	-0.0567944791287471
1997.24657534247	-0.0484787099745
1997.32876712329	-0.0478205201605771
1997.66575342466	-0.00298986149485159
1997.74794520548	-0.00816816723678472
1997.83287671233	-0.036182719622417
1997.91506849315	-0.0552697510769909
1998	-0.0520466921035338
1998.08493150685	-0.0512980293023464
1998.24657534247	-0.0458232007963862
1998.32876712329	-0.0162536614334142
1998.41369863014	-0.0301307861174736
1998.49589041096	0.0762033723770864
1998.74794520548	0.026399376109482
1998.83287671233	-0.0275234597827293
1998.91506849315	-0.0361206105922696
1999	-0.0493966994425823
1999.08493150685	-0.0482943389651826
1999.16164383562	-0.0497116841620412
1999.24657534247	-0.0612938156775107
1999.66575342466	0.0520918309990158
1999.74794520548	0.00885895369888717
1999.83287671233	-0.0222076110679045
1999.91506849315	-0.0369658277514799
2000.08469945355	-0.0511984012660524
2000.16393442623	-0.058778986607354
2000.24863387978	-0.0419332387190243
2000.3306010929	0.00370852164011182
2000.41530054645	0.00772554139666377
2000.49726775956	0.042081911763935
2000.58196721311	0.0474291219140727
2000.66666666667	0.0677920062703243
2000.74863387978	0.012816221494857
2000.83333333333	-0.0203028765940582
2000.91530054645	-0.0375516703391943
2001	-0.0469810857271453
2001.08493150685	-0.0494583432133493
2001.16164383562	-0.0436782985273876
2001.24657534247	-0.0447172102118455
2001.32876712329	-0.0278958698394166
2001.49589041096	0.0296197788924929
2001.58082191781	0.0474227407420005
2001.74794520548	0.00621696382732265
2001.83287671233	-0.0153909102220165
2001.91506849315	-0.04642611894972
2002	-0.0534092574004844
2002.08493150685	-0.0585515659548628
2002.16164383562	-0.0592072916321012
2002.24657534247	-0.0360751222675032
2002.32876712329	-0.0210373071102438
2002.41369863014	-0.00670271939660868
2002.49589041096	0.0157851589428096
2002.66575342466	0.0141918686460629
2002.74794520548	-0.00375488097961434
2002.83287671233	-0.0220558530881637
2002.91506849315	-0.0497872874841642
2003	-0.0537885440949092
2003.08493150685	-0.0554210029559324
2003.16164383562	-0.0587864658093364
2003.24657534247	-0.0606441474183862
2003.32876712329	-0.037297564793914
2003.49589041096	0.0455362741796752
2003.58082191781	0.0128614856126829
2003.74794520548	0.00422694722973446
2003.83287671233	-0.0193052997836763
2003.91506849315	-0.0469810857271453
2004	-0.0557277264334823
2004.08469945355	-0.0553458829461664
2004.16393442623	-0.0555403259933819
2004.24863387978	-0.0312332658113721
2004.3306010929	-0.0300052802743659
2004.49726775956	0.055786903817833
2004.66666666667	0.0297657944726241
2004.74863387978	0.0214323880417186
2004.83333333333	-0.01294803664031
2004.91530054645	-0.043210446655769
2005	-0.0504196057016493
2005.08493150685	-0.0494866289133757
2005.16164383562	-0.0461664243135326
2005.24657534247	-0.0407566052821626
2005.32876712329	-0.0133845584392307
2005.49589041096	0.0462062446374128
2005.66575342466	0.0547626775952455
2005.74794520548	0.0234979944865954
2005.83287671233	-0.0168886498982786
2006	-0.0531142012656461
2006.08493150685	-0.0539660489049665
2006.16164383562	-0.0496864732218927
2006.24657534247	-0.0510468159970412
2006.32876712329	-0.0287497232901118
2006.49589041096	0.0124925352296817
2006.58082191781	-0.00251021937476768
2006.66575342466	-0.000709734498798522
2006.74794520548	-0.0155916842508743
2006.83287671233	-0.0453124812193981
2006.91506849315	-0.052651072005071
2007.08493150685	-0.0625984332730237
2007.16164383562	-0.0648541198133795
2007.24657534247	-0.0484949955671102
2007.32876712329	-0.0052665293324522
2007.41369863014	-0.0088855324881677
2007.58082191781	0.0381630053833425
2007.83287671233	-0.0156465186951544
2007.91506849315	-0.0518862160236226
2008	-0.048654691117408
2008.08469945355	-0.0577363664210018
2008.16393442623	-0.0544785630341877
2008.24863387978	-0.0457889348930588
2008.3306010929	-0.0208894388347136
2008.49726775956	0.0305709580981394
2008.66666666667	0.0325100706908741
2008.83333333333	-0.0151124826863141
2008.91530054645	-0.0417303103802898
2009	-0.0447820828653345
2009.08493150685	-0.0554527700915424
