LakeID,LakeName,LakeArea,TypeName,Trend,TrendPval,X,Y
1,Caspian Sea,377001.91,Natural lake,-18.801577,0,50.7351847255,41.7286503993
8,Great Bear,30450.64,Natural lake,-0.042230154,0.50238526,-120.930901705,66.0027242778
10,Great Slave,26734.29,Natural lake,0.0052794545,0.87050641,-115.481788946,61.2945056817
11,Winnipeg,23923.04,Natural lake,0.19937952,0,-97.7902047273,52.511070286
2,Superior,81843.92,Natural lake,0.45328759,0.010054827,-86.3190317067,47.6005153568
5,Michigan-Huron,117126.14,Natural lake,0.025518582,0.94536519,-87.231855426,43.242939771
12,Erie,25767.79,Natural lake,0.12927222,0.026842475,-81.2481195367,42.1476051501
15,Ladoga,17444.01,Natural lake,0.034893937,0.4965446,31.4687384438,60.8397182405
16,Balkhash,16717.89,Natural lake,0.95139761,0,74.8606545681,46.5434110492
82,Large Aral Sea,23865.91,Natural lake,-6.58837,0,59.9675212095,44.9976191369
14,Kara-Bogaz-Gol,18666.8,Natural lake,-1.273818,0,53.6446750878,41.332754298
106,Chad,18751.52,Natural lake,0.011361322,0,14.4683583282,13.0286944041
700,Selawik,1058.07,Natural lake,0.0099214009,0,-160.729143735,66.495097965
33,Netilling,4872.7,Natural lake,-0.1139512,0,-70.4948567295,66.4957320591
181,Takiyuak,1031.69,Natural lake,-0.00094961113,0.77159357,-113.193560986,66.1623738506
277,Contwoyto,1053.82,Natural lake,-0.020048833,0.28000927,-111.127720995,65.7952547629
61,Amadjuak,2994.94,Natural lake,0.062185223,0,-71.2130705153,64.9071332978
176,Aberdeen,1102.61,Natural lake,-0.090139876,0.25246048,-98.8746319755,64.4908316912
115,Baker,1664.7,Natural lake,0.0038301926,0.14785802,-95.2482448771,64.1548344927
49,Dubawnt,3583.21,Natural lake,-0.016594442,0.22682226,-101.403724816,63.1164485601
112,Martre,1679.89,Natural lake,0.003940895,0.045207143,-117.945491762,63.315236343
128,Yathkyed,1336.49,Natural lake,-0.021150522,0.083455361,-97.8662841953,62.6766891494
93,Nueltin,1917.62,Natural lake,0.059862534,0,-99.219404556,59.9994877572
127,Kasba,1330.11,Natural lake,-0.0096084234,0.011126371,-102.194820364,60.3075368912
72,Iliamna,2634.62,Natural lake,-0.005138781,0.35949904,-155.067414985,59.5565454054
87,Wollaston,2269.59,Natural lake,-0.015696279,0.14367577,-103.285850342,58.2372570595
21,Athabasca,7528.73,Natural lake,0.05902132,0.011011004,-109.901159651,59.1866939713
143,Claire,1332.93,Natural lake,-0.01898437,0,-112.081676342,58.5869568729
152,Becharof,1166.38,Natural lake,0.0033891738,0.0087251663,-156.394915724,57.9183677114
151,Cree,1155.15,Natural lake,-0.010831225,0.022026712,-106.648419332,57.3572125061
138,La Ronge,1296.47,Natural lake,0.0081522879,0.062240243,-105.077624096,54.9981040777
159,Lesser Slave,1186.51,Natural lake,0.010641511,0.062364459,-115.110572074,55.4511463489
173,Gods,1024.08,Natural lake,0.010355426,0.0016011,-94.2278627108,54.6854786159
303,Moose,1311.82,Natural lake,0.063478015,0,-100.107920836,53.9395608109
30,Winnipegosis,5035.51,Natural lake,0.077757455,0.0010640621,-100.736606207,52.7748693308
34,Manitoba,4751.05,Natural lake,0.042321696,0,-98.353580429,50.4879300695
91,Mistassini,2182.5,Natural lake,-0.032437839,0.12287524,-73.1281258742,51.2064638871
56,Woods,3472.81,Natural lake,0.053752398,0,-94.9637485947,49.0892290256
155,Champlain,1141.3,Natural lake,-0.00083879022,0.82121879,-73.1805576918,44.7682215828
71,Great Salt,6478.85,Natural lake,-0.28654911,0,-112.53464065,41.191247511
182,Chapala,1051.7,Natural lake,0.06098518,0,-103.011408386,20.2372690229
