LakeID	LakeName	LakeArea	TypeName	Trend	TrendPval	X	Y
1	Caspian Sea	377001.91	Natural lake	-18.8161662117721	0	50.7351847255	41.7286503993
8	Great Bear	30450.64	Natural lake	-0.0374992717398474	0.2158	-120.930901705	66.0027242778
10	Great Slave	26734.29	Natural lake	0.00162324974419809	0.4893	-115.481788946	61.2945056817
11	Winnipeg	23923.04	Natural lake	0.195245798131382	0.044	-97.7902047273	52.511070286
2	Superior	81843.92	Natural lake	0.463640917282576	0.1359	-86.3190317067	47.6005153568
5	Michigan-Huron	117126.14	Natural lake	-0.322546977657799	0.2569	-87.231855426	43.242939771
12	Erie	25767.79	Natural lake	0.128799344550207	0.2102	-81.2481195367	42.1476051501
15	Ladoga	17444.01	Natural lake	0.0315696588614126	0.4196	31.4687384438	60.8397182405
16	Balkhash	16717.89	Natural lake	0.950729884766831	0	74.8606545681	46.5434110492
82	Large Aral Sea	23865.91	Natural lake	-4.48662036710353	0	59.9675212095	44.9976191369
14	Kara-Bogaz-Gol	18666.8	Natural lake	-1.26012153208678	0	53.6446750878	41.332754298
106	Chad	18751.52	Natural lake	0.0110491132262102	0.0169	14.4683583282	13.0286944041
700	Selawik	1058.07	Natural lake	0.00932129369353845	0.0003	-160.729143735	66.495097965
33	Netilling	4872.7	Natural lake	-0.117690865470821	0.0001	-70.4948567295	66.4957320591
181	Takiyuak	1031.69	Natural lake	-0.000965735539233071	0.4678	-113.193560986	66.1623738506
277	Contwoyto	1053.82	Natural lake	-0.0200488330501962	0.136	-111.127720995	65.7952547629
61	Amadjuak	2994.94	Natural lake	0.055397751644567	0	-71.2130705153	64.9071332978
176	Aberdeen	1102.61	Natural lake	-0.0901398757542333	0.1094	-98.8746319755	64.4908316912
115	Baker	1664.7	Natural lake	0.00231821585733285	0.2911	-95.2482448771	64.1548344927
49	Dubawnt	3583.21	Natural lake	-0.0166826904356522	0.1251	-101.403724816	63.1164485601
112	Martre	1679.89	Natural lake	0.00402088709677801	0.2054	-117.945491762	63.315236343
128	Yathkyed	1336.49	Natural lake	-0.0150171660028148	0.3618	-97.8662841953	62.6766891494
93	Nueltin	1917.62	Natural lake	0.0566364237599974	0	-99.219404556	59.9994877572
127	Kasba	1330.11	Natural lake	-0.00922479969936999	0.0275	-102.194820364	60.3075368912
72	Iliamna	2634.62	Natural lake	-0.00508687824228069	0.3116	-155.067414985	59.5565454054
87	Wollaston	2269.59	Natural lake	-0.0147900738698255	0.1108	-103.285850342	58.2372570595
21	Athabasca	7528.73	Natural lake	0.0545441424409152	0.18	-109.901159651	59.1866939713
143	Claire	1332.93	Natural lake	-0.0186338391747451	0.0048	-112.081676342	58.5869568729
152	Becharof	1166.38	Natural lake	0.00329729266747175	0.087	-156.394915724	57.9183677114
151	Cree	1155.15	Natural lake	-0.0103556983043249	0.0395	-106.648419332	57.3572125061
138	La Ronge	1296.47	Natural lake	0.0077713847492106	0.0515	-105.077624096	54.9981040777
159	Lesser Slave	1186.51	Natural lake	0.0108342155213863	0.1359	-115.110572074	55.4511463489
173	Gods	1024.08	Natural lake	0.0103375494225779	0.0809	-94.2278627108	54.6854786159
303	Moose	1311.82	Natural lake	0.0636298372101065	0	-100.107920836	53.9395608109
30	Winnipegosis	5035.51	Natural lake	0.0611172003133233	0.1414	-100.736606207	52.7748693308
34	Manitoba	4751.05	Natural lake	0.0391938335805101	0.0525	-98.353580429	50.4879300695
91	Mistassini	2182.5	Natural lake	-0.0324551584205706	0.0919	-73.1281258742	51.2064638871
56	Woods	3472.81	Natural lake	0.053511747616039	0.0005	-94.9637485947	49.0892290256
155	Champlain	1141.3	Natural lake	-0.00108523457898266	0.4099	-73.1805576918	44.7682215828
71	Great Salt	6478.85	Natural lake	-0.286863619968021	0	-112.53464065	41.191247511
182	Chapala	1051.7	Natural lake	0.0599553859759461	0.007	-103.011408386	20.2372690229
168	Managua	1060.87	Natural lake	-0.00469989123711507	0.4435	-86.3551302083	12.3804648879
19	Nicaragua	7833.32	Natural lake	0.0482212690831929	0.2463	-85.3563804796	11.5134358031
35	Taymyr	4908.66	Natural lake	-0.187919047437808	0.0015	101.950227684	74.5344969742
9900036	Inari	1098.17	Natural lake	0.00104237941619284	0.3859	27.844443249	68.7566367219
137	Vygozero	1167.6	Natural lake	-0.0234057087277176	0.0746	34.7778186468	63.5750697344
216	Iso-Kallan	1133.97	Natural lake	-0.0223814168717327	0.0052	28.0401399995	62.3679881051
154	Paijanne	1270.47	Natural lake	-0.0261905226065707	0.0225	25.5972099883	61.7344149815
147	Beloye	1182.4	Natural lake	-0.0158258203880682	0	37.63449934	60.1799184368
203	Malaren	1083.13	Natural lake	-0.000418465831126004	0.4043	17.5689370005	59.2846185043
54	Peipsi	3489	Natural lake	-0.00239704655656064	0.4608	27.546596925	58.5428802647
103	Vattern	1888.04	Natural lake	-0.0186162694021515	0.0001	14.5386672503	58.3324021495
148	Chany	1966.57	Natural lake	-0.0189819683563546	0	77.435	54.694625
66	Khovsgol	2767.8	Natural lake	-0.051388632299846	0.0008	100.47739526	51.0809392074
141	Tengiz	1422.85	Natural lake	-0.0661717286160827	0.0547	68.8757652452	50.390975764
52	Uvs	3600.81	Natural lake	-0.197551740517875	0	92.7495825502	50.3154400834
95	Hulun	2121.43	Natural lake	-0.199611051065639	0.0027	117.397764272	48.9457040284
129	Khyargas	1383.23	Natural lake	-0.337850676992488	0	93.3026593696	49.1970504896
194	Khar Us	1120.49	Natural lake	-0.0135377803696622	0	92.2352951477	48.0277957266
62	Alakol	2919.34	Natural lake	0.177992430061485	0	81.7447766113	45.9989373876
13827	Syvash	1333.38	Natural lake	-0.00502079178688359	0.0044	34.905450726	45.7491783722
37	Khanka	4118.84	Natural lake	0.257250151756451	0	132.396496826	44.992788005
23	Issyk Kul	6195.93	Natural lake	0.098636153046612	0.0039	77.2661506824	42.4409729044
47	Sarygamysh	3772.03	Natural lake	0.88116617151745	0	57.2362590875	41.969836896
139	Sevan	1242.22	Natural lake	0.201666504037602	0	45.3287206357	40.3564606019
229	Tuz	1664.71	Natural lake	-0.00112763763599917	0.0271	33.4172432124	38.730292223
50	Van	3568.73	Natural lake	-0.100665757797668	0.0002	42.9532334898	38.6435979382
188	Urmia	4932.76	Natural lake	-1.0529798637156	0	45.453105212	37.6651482859
38	Qinghai	4266.55	Natural lake	0.430378069617311	0	99.9022499532	36.8559358973
80	Siling	1749.53	Natural lake	1.07043188741425	0	88.9855499807	31.7873703987
83	Tai	2329.14	Natural lake	-0.011948294049941	0.0016	120.191742389	31.2006000933
94	Nam	1963.82	Natural lake	0.309215395941695	0	90.6463626438	30.7125979297
1837	Goud-e-Zareh	1218.86	Natural lake	-0.433103652471504	0	62.2266816033	29.8224835777
98	Poyang	2398.32	Natural lake	-0.117311842560624	0.0424	116.276478679	29.111295038
76	Tonle Sap	2415.98	Natural lake	-0.00852126609224201	0.4377	104.049167595	12.9094971079
60	Tana	3059.34	Natural lake	0.0529890019804464	0.0257	37.1530278185	12.0371837887
163	Abaya	1084.75	Natural lake	0.174303852327324	0	37.7144328478	6.10002027239
22	Turkana	7473.43	Natural lake	0.680741700315098	0	36.2679167006	3.09218315957
24	Albert	5526.92	Natural lake	0.0355789169759004	0.272	30.9436076355	1.72455677098
160	Toba	1129.03	Natural lake	-0.0205338646667182	0.0189	98.9947895643	2.43431072625
75	Kyoga	2788.19	Natural lake	-0.0233397974661473	0.2443	32.6240291341	1.43526288726
9910439		135.08	Natural lake	-0.0020334540199965	0.2948	-20.6442363358	77.0760651503
492		356.99	Natural lake	-0.0125725308426233	0.0178	-94.8281573912	72.7692800622
1303	Crooked	132.35	Natural lake	0	0	-98.353813012	72.5609035319
602	Zeta	307.99	Natural lake	-0.0177740160072782	0.003	-106.548053569	70.9422214322
833	Angajurjualuk	204.78	Natural lake	-0.00851327600571041	0.006	-78.9646753315	71.1411436618
1401	Quartz	100.64	Natural lake	-0.035501652036293	0.0043	-80.5438661975	70.9583188259
1245	Tahiryuak	148.62	Natural lake	0.00329460249139566	0.1353	-112.161060795	70.9612179292
1200	Namaycush	119.17	Natural lake	-0.000110160525625208	0.4822	-108.262334219	70.7677469294
1561	Nina Bang	104.56	Natural lake	-0.00033291978786239	0.0172	-79.497789248	70.849628914
457	Erichsen	350.65	Natural lake	-0.0353816420639995	0	-80.5109634166	70.6614798613
218	Teshekpuk	829.95	Natural lake	-0.00555937698123055	0.5021	-153.584770272	70.5932459947
567		322.92	Natural lake	0.00241020405712379	0.1327	-73.1295368931	70.3656977474
561		327.01	Natural lake	0.0034295127779345	0.0017	-73.6353410914	70.5435992086
1048	Neergaure	166.37	Natural lake	-0.00187467952839016	0.0037	-79.926024955	70.2176061555
1605		103.06	Natural lake	-0.000776993705859305	0.0199	-106.373750002	70.2610723154
625	Washburn	255.3	Natural lake	-0.00968850413028249	0.047	-107.44556064	70.0699219816
1091	Tahoe	169.66	Natural lake	-0.0098060140322615	0.0063	-108.424006675	70.0020276575
1045	Quunnguq	155.19	Natural lake	-0.00253921229770984	0.1081	-112.692202264	69.8859077771
1426	Jayko	121.72	Natural lake	-0.00286925235752681	0.0045	-103.196996705	69.8118230535
1424		123.03	Natural lake	0.00173805083035282	0.386	-109.11588591	69.6659482242
1109		165.53	Natural lake	-0.0149760464103844	0.0002	-104.527292449	69.7419484642
1504	Jekyll	151.33	Natural lake	-0.00535222542301552	0.0164	-93.657393269	69.7060133309
712	Surrey	243.89	Natural lake	-0.0228656010365033	0.0114	-107.187882226	69.6261936476
321	Labaz	564.14	Natural lake	-0.327713842076461	0.2086	-105.266460623	69.421088254
1300		132.44	Natural lake	0.00292460846756543	0.1713	-75.4181023057	69.5797159658
1150	Pangnikto	145.42	Natural lake	-0.0151351602578473	0.0001	-92.8301532255	69.5408716593
477	Netsilik	393.23	Natural lake	-0.00375747270240576	0.0309	-93.0892957108	69.2799098252
6380		124.63	Natural lake	-0.00266590148345589	0.1053	-108.604713344	69.3126106357
210	Eskimo Southern	843.49	Natural lake	0.0437087814807856	0.0297	-132.963130723	68.6947802964
1445		117.16	Natural lake	-0.00367945313354753	0.0354	-105.669327208	69.2251556256
5644		359.8	Natural lake	-0.00727742198460469	0.275	-110.62486748	69.0522407567
11896	Lady Melville	400.11	Natural lake	0.00472435328952426	0.1456	-92.3631141064	69.1781232022
389	Hall	466.31	Natural lake	-0.00604988487913493	0.0059	-82.3065037515	68.6520748462
411	Bluenose	425.67	Natural lake	-0.00315435105355832	0.0062	-119.714945838	68.4612047802
611	Sitidgi	289.13	Natural lake	0.00379389274892538	0.0003	-132.713673459	68.5379478714
1154		148.36	Natural lake	-0.00184988032496126	0.0034	-116.699454631	68.2655701399
1468		112.85	Natural lake	-0.000704217319431602	0.0104	-131.791240512	67.6904338363
1442		115.22	Natural lake	-0.00337109434383684	0.0226	-127.14816164	67.5208474024
988	Horton	171.25	Natural lake	-0.00405081334166072	0.0951	-122.446908276	67.4817467237
538	Maunoir	335.79	Natural lake	-0.000420876358262932	0.0015	-124.929247351	67.4750321943
1593		107.04	Natural lake	-0.00149328775850915	0.0154	-113.235884758	67.2294509158
951	MacNaughton	187.25	Natural lake	-0.00204709771851324	0.1702	-98.4900148575	67.3098918766
475	Aubry	376.12	Natural lake	-0.000439931943275177	0.2057	-126.441628685	67.397929937
407	Colville	448.2	Natural lake	-0.00988512971631598	0.1357	-125.981810173	67.161093611
386		411.36	Natural lake	0.00997138477427925	0.4324	-96.1292735442	66.9291095887
400	Bois	458.53	Natural lake	-0.0216066423436997	0.0072	-125.21219808	66.82407188
596	Belot	294.88	Natural lake	0.00462917822950589	0.0497	-126.293019775	66.8928720677
1262		139.42	Natural lake	-0.000576130735459864	0.0427	-112.977289387	66.7641554392
1193	Curtis	144.63	Natural lake	-0.000910400937808462	0.1454	-89.0140291415	66.7893614446
1822		119.98	Natural lake	0.000369199564279918	0.2791	-100.850164144	66.4752219784
1201		141.06	Natural lake	-0.00219758735405772	0.0353	-103.380171886	66.4401357781
1093		152.31	Natural lake	0.000388490193517642	0.4751	-97.6970606149	66.3144976816
792	Rockinghorse	226.29	Natural lake	-0.0035331889284752	0.0082	-112.3179721	65.8135904855
1151		145.65	Natural lake	-0.00196837788279187	0.3462	-91.210859134	65.9082183618
9910440		103.97	Natural lake	0.000661782810725331	0.2377	-98.6306771892	65.9824809909
9910202	Garry( Upper)	452.28	Natural lake	0.00980069077720624	0.048	-100.509407769	65.8001979452
9910092	Pelly	205.59	Natural lake	0.000769997857714954	0.4332	-101.328324608	65.9014978664
1260	Deep Rose	121.17	Natural lake	-0.000984220121798988	0.0671	-98.6883281205	65.696949643
1403		107.76	Natural lake	-0.00988731424586787	0.0056	-97.7767874658	65.6094808764
9334		145.1	Natural lake	-0.000898130290369375	0.1183	-99.2941534889	65.5390937978
1295	Hansine	134.47	Natural lake	-0.00542796726536267	0.0463	-85.655056962	65.6180266513
1552		105.75	Natural lake	-0.000954675275915848	0.1778	-71.9461487289	65.5239154263
1701		124.47	Natural lake	-0.000203523448868713	0.3972	-100.1024556	65.4944832647
863	Itchen	210.56	Natural lake	-0.00132049337958453	0.1183	-112.907167031	65.4966456539
942	Mahony	183.26	Natural lake	-0.00214342893317681	0.0229	-125.358529456	65.5129193822
1116	Nose	155.19	Natural lake	-0.00318786691476173	0.0448	-109.031810223	65.3688064997
1930		186.91	Natural lake	-0.00183583907045106	0.1364	-96.4698976325	64.9939416868
1356		122.55	Natural lake	-0.00301161912880697	0.0106	-126.132655387	65.3856386295
9910001	Hottah	950.73	Natural lake	-0.0276931067576417	0.0778	-118.441182892	65.0434715552
1370		135.88	Natural lake	0.012438794101918	0.0079	-99.6821039422	65.2205756212
747	Imuruk Basin	223.93	Natural lake	0.00325149084358742	0.0345	-165.676043941	65.1288577896
1347		120.71	Natural lake	0.000150396608386236	0.4085	-102.313346474	65.1043308847
9910058		109.43	Natural lake	-0.00042181979458299	0.2495	-95.3299108555	65.1459666105
263	Tehek	450.06	Natural lake	-0.019211636835283	0.0628	-95.6149207212	64.9328803675
1924		106.92	Natural lake	-0.00018408482197472	0.3845	-103.013125934	65.0173511714
1064		157.91	Natural lake	0.000449223758034167	0.3483	-75.478265529	64.7870767661
14283		108.63	Natural lake	-0.000653585250144359	0.1407	-110.784526969	64.7684530291
5665	Yamba	332.67	Natural lake	-0.00133406290588014	0.2166	-111.261593398	64.9410725775
487	Hardish	384.88	Natural lake	-0.00347148768852254	0.0534	-117.876296304	64.5287268803
1334	Luran	121.23	Natural lake	-0.000226702040934173	0.4926	-93.0501371984	64.853375554
4878	Schultz	411.08	Natural lake	0.006876593331055	0.1185	-97.4212155128	64.751734503
778	Mingo	226.35	Natural lake	-0.00579584569977076	0.1506	-72.2540284762	64.5285664237
1473	Birch	115.14	Natural lake	-0.000698768990407667	0.1944	-121.603068967	64.6271013856
11254		109.49	Natural lake	-0.00122717097049684	0.016	-113.381835559	64.796997062
9910442	Beverly	148.81	Natural lake	0.011452182338419	0.0765	-100.504995207	64.5708199674
323	Point	976.92	Natural lake	-0.0514516270306629	0.0443	-112.102056592	64.7877037843
272	Gras	699.94	Natural lake	-0.014607573230675	0.0082	-109.976895602	64.5323652136
1157	Whitehills	184.05	Natural lake	-0.00147149665362419	0.1123	-96.0363603791	64.5799391684
2841		261.53	Natural lake	0.00133037939550611	0.3826	-117.511964463	64.1640376833
10716		177.9	Natural lake	-0.00139171549608483	0.0114	-114.027391291	64.1817892102
808	Blackwater	215.7	Natural lake	0.00099414836204101	0.224	-123.005051293	63.8600146016
73	Mackay	966.57	Natural lake	-0.0109522605903931	0.0003	-110.890808686	63.8525411489
1216	Ingray	138.88	Natural lake	-0.000979843959590738	0.0207	-116.201538552	64.1488463376
9910003	Aylmer	800.94	Natural lake	0.0111045843293465	0.0004	-108.516339113	64.12645479
459	Keller	391.42	Natural lake	-0.0068343390129073	0.1306	-121.571439591	63.9289462516
273	Wharton	412.11	Natural lake	0.0454692287730742	0.0574	-99.7802085953	64.012993559
2138		157.96	Natural lake	-0.00114956936639963	0.0927	-91.6712685525	64.0890045428
672	Pitz	259.08	Natural lake	-0.0049589631190766	0.0091	-96.5947181515	63.8682171594
1294		172.84	Natural lake	-0.00290450469612702	0.134	-115.01970833	64.2182560608
408	Mallery	460.6	Natural lake	-0.00155360772518392	0.2765	-98.387481587	63.9787964703
