distance_km,population
0.0,479871.7343900715
5.0,5471832.851178369
10.0,14335472.350457877
15.0,23528865.105782263
20.0,31003467.834932026
25.0,37532493.72289106
30.0,41529364.15630992
35.0,46989240.802476145
40.0,46967922.565045774
45.0,51219425.76430048
50.0,50643368.23510683
55.0,50764728.438832715
60.0,59460674.071756676
65.0,59401391.37752869
70.0,56498597.78344191
75.0,57277095.51749759
80.0,67085046.48248013
85.0,65819978.811422154
90.0,61813894.23279889
95.0,61193222.53214067
100.0,58590816.26472011
