distance_km,population
0.0,4160883.5891992375
5.0,20230363.93184454
10.0,39236947.25343018
15.0,59464808.51270625
20.0,78376390.24183717
25.0,91210019.95791537
30.0,106684645.56363882
35.0,123469550.55081366
40.0,134907485.95895386
45.0,146436613.31113988
50.0,152508123.08351037
55.0,157979495.755089
60.0,166919384.29697955
65.0,175265913.76972398
70.0,176555208.8566324
75.0,172313680.2025625
80.0,179587835.57119763
85.0,182620176.98640478
90.0,178034922.61678997
95.0,183696831.3582744
100.0,176475176.57666704
